task_name,assignment_status,assigned_category,best_observed_category,best_score,best_reported_score,second_best_category,second_best_score,second_reported_score,margin_pp,assignment_confidence,tie_break_used,tie_break_reason,tie_candidate_schema_ids,tie_candidate_count,tie_candidate_semantic_scores,tie_candidate_score_range_pp,observed_schema_count,full_coverage,missing_schema_ids,infra_blocked_schema_ids,runtime_blocked_schema_ids,ambiguous_schema_ids,top3_spread_pp,assigned_score,assigned_reported_score
earthquake-phase-association,assigned,analytic-pipeline,analytic-pipeline,10.0,0.0,artifact-generation,10.0,0.0,0.0,low,True,semantic_prior,analytic-pipeline;artifact-generation;engineering-composition;environment-control;methodology-guardrail;orchestration-delegation;retrieval-heavy-synthesis,7,analytic-pipeline:5.5;artifact-generation:0.0;engineering-composition:2.0;environment-control:1.5;methodology-guardrail:1.0;orchestration-delegation:0.0;retrieval-heavy-synthesis:0.0,0.0,7,True,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,0.0,10.0,0.0
earthquake-plate-calculation,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
econ-detrending-correlation,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
energy-ac-optimal-power-flow,unassigned_incomplete_row,,retrieval-heavy-synthesis,89.5,100.0,methodology-guardrail,86.5,100.0,3.0,unassigned,False,,,0,,,6,False,artifact-generation,,,artifact-generation,10.5,,
energy-market-pricing,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
enterprise-information-search,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
exceltable-in-ppt,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
exoplanet-detection-period,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
financial-modeling-qa,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
find-topk-similiar-chemicals,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
fix-build-agentops,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
fix-build-google-auto,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
fix-druid-loophole-cve,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
fix-erlang-ssh-cve,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
fix-visual-stability,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
flink-query,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
flood-risk-analysis,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
gh-repo-analytics,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
glm-lake-mendota,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
gravitational-wave-detection,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
grid-dispatch-operator,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
hvac-control,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
invoice-fraud-detection,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
jax-computing-basics,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
jpg-ocr-stat,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
lab-unit-harmonization,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
lake-warming-attribution,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
latex-formula-extraction,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
lean4-proof,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
manufacturing-codebook-normalization,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
manufacturing-equipment-maintenance,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
manufacturing-fjsp-optimization,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
mario-coin-counting,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
mars-clouds-clustering,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
mhc-layer-impl,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
multilingual-video-dubbing,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
offer-letter-generator,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
organize-messy-files,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
paper-anonymizer,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
parallel-tfidf-search,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
pddl-tpp-planning,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
pdf-excel-diff,assigned,analytic-pipeline,analytic-pipeline,95.5,100.0,methodology-guardrail,90.0,100.0,5.5,medium,False,,analytic-pipeline,1,,0.0,7,True,,,,,5.5,95.5,100.0
pedestrian-traffic-counting,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
pg-essay-to-audiobook,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
powerlifting-coef-calc,assigned,artifact-generation,analytic-pipeline,90.0,100.0,artifact-generation,90.0,100.0,0.0,low,True,semantic_prior,analytic-pipeline;artifact-generation;engineering-composition;environment-control;methodology-guardrail;orchestration-delegation;retrieval-heavy-synthesis,7,analytic-pipeline:1.5;artifact-generation:6.0;engineering-composition:0.0;environment-control:0.0;methodology-guardrail:1.5;orchestration-delegation:0.0;retrieval-heavy-synthesis:0.0,0.0,7,True,,,,,0.0,90.0,100.0
pptx-reference-formatting,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
protein-expression-analysis,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
python-scala-translation,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
quantum-numerical-simulation,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
r2r-mpc-control,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
react-performance-debugging,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
reserves-at-risk-calc,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
sales-pivot-analysis,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
scheduling-email-assistant,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
sec-financial-report,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
seismic-phase-picking,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
setup-fuzzing-py,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,
shock-analysis-demand,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
shock-analysis-supply,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
simpo-code-reproduction,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
software-dependency-audit,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
speaker-diarization-subtitles,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
spring-boot-jakarta-migration,unassigned_incomplete_row,,artifact-generation,90.0,100.0,engineering-composition,90.0,100.0,0.0,unassigned,False,,,0,,,4,False,environment-control;methodology-guardrail;orchestration-delegation,environment-control;methodology-guardrail;orchestration-delegation,,retrieval-heavy-synthesis,10.5,,
suricata-custom-exfil,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
syzkaller-ppdev-syzlang,unassigned_incomplete_row,,analytic-pipeline,10.0,0.0,artifact-generation,10.0,0.0,0.0,unassigned,False,,,0,,,3,False,retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,engineering-composition,0.0,,
taxonomy-tree-merge,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
threejs-structure-parser,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
threejs-to-obj,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
travel-planning,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
trend-anomaly-causal-inference,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
video-filler-word-remover,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
video-silence-remover,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
video-tutorial-indexer,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
virtualhome-agent-planning,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,
weighted-gdp-calc,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
xlsx-recover-data,unassigned_no_scores,,,,,,,,,unassigned,False,,,0,,,0,False,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,
