skillx_task_id,task_id,initial_schema_seed,official_result_status,official_missing_reason,source_url,sonnet45_no_skills_score,sonnet45_with_skills_score,sonnet45_self_generated_score
043,pg-essay-to-audiobook,orchestration-delegation,available,,https://www.skillsbench.ai/tasks/pg-essay-to-audiobook,0,0,0
044,powerlifting-coef-calc,artifact-generation,available,,https://www.skillsbench.ai/tasks/powerlifting-coef-calc,100,100,100
045,pptx-reference-formatting,artifact-generation,available,,https://www.skillsbench.ai/tasks/pptx-reference-formatting,0,80,0
046,protein-expression-analysis,artifact-generation,available,,https://www.skillsbench.ai/tasks/protein-expression-analysis,0,100,0
047,python-scala-translation,artifact-generation,available,,https://www.skillsbench.ai/tasks/python-scala-translation,0,0,0
048,react-performance-debugging,engineering-composition,available,,https://www.skillsbench.ai/tasks/react-performance-debugging,0,0,0
049,reserves-at-risk-calc,retrieval-heavy-synthesis,available,,https://www.skillsbench.ai/tasks/reserves-at-risk-calc,0,0,0
050,sales-pivot-analysis,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/sales-pivot-analysis,0,80,0
051,sec-financial-report,retrieval-heavy-synthesis,available,,https://www.skillsbench.ai/tasks/sec-financial-report,0,100,0
052,seismic-phase-picking,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/seismic-phase-picking,0,0,0
053,setup-fuzzing-py,engineering-composition,available,,https://www.skillsbench.ai/tasks/setup-fuzzing-py,0,9.8,44
054,shock-analysis-demand,retrieval-heavy-synthesis,available,,https://www.skillsbench.ai/tasks/shock-analysis-demand,0,0,0
055,shock-analysis-supply,retrieval-heavy-synthesis,available,,https://www.skillsbench.ai/tasks/shock-analysis-supply,0,0,0
056,simpo-code-reproduction,engineering-composition,available,,https://www.skillsbench.ai/tasks/simpo-code-reproduction,0,40,0
057,software-dependency-audit,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/software-dependency-audit,0,0,0
058,speaker-diarization-subtitles,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/speaker-diarization-subtitles,0,0,0
059,spring-boot-jakarta-migration,engineering-composition,available,,https://www.skillsbench.ai/tasks/spring-boot-jakarta-migration,100,100,100
060,suricata-custom-exfil,artifact-generation,available,,https://www.skillsbench.ai/tasks/suricata-custom-exfil,0,0,0
061,syzkaller-ppdev-syzlang,artifact-generation,available,,https://www.skillsbench.ai/tasks/syzkaller-ppdev-syzlang,0,20,66.7
062,taxonomy-tree-merge,methodology-guardrail,available,,https://www.skillsbench.ai/tasks/taxonomy-tree-merge,40.8,0,40.5
063,threejs-structure-parser,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/threejs-structure-parser,0,0,0
064,threejs-to-obj,artifact-generation,available,,https://www.skillsbench.ai/tasks/threejs-to-obj,20,60,0
065,travel-planning,retrieval-heavy-synthesis,available,,https://www.skillsbench.ai/tasks/travel-planning,40,20,0
066,trend-anomaly-causal-inference,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/trend-anomaly-causal-inference,84.3,90.6,86.3
067,video-filler-word-remover,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/video-filler-word-remover,0,0,0
068,video-tutorial-indexer,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/video-tutorial-indexer,0,0,0
069,virtualhome-agent-planning,environment-control,available,,https://www.skillsbench.ai/tasks/virtualhome-agent-planning,0,0,0
070,weighted-gdp-calc,artifact-generation,available,,https://www.skillsbench.ai/tasks/weighted-gdp-calc,0,100,0
071,xlsx-recover-data,analytic-pipeline,available,,https://www.skillsbench.ai/tasks/xlsx-recover-data,0,0,0
072,PDF-Crosspage-Table-Normalization-to-Excel,analytic-pipeline,missing_official_results,HTTP Error 404: Not Found,https://www.skillsbench.ai/tasks/PDF-Crosspage-Table-Normalization-to-Excel,,,
073,crystallographic-wyckoff-position-analysis,engineering-composition,missing_official_results,missing_results,https://www.skillsbench.ai/tasks/crystallographic-wyckoff-position-analysis,,,
074,dialogue-parser,artifact-generation,missing_official_results,HTTP Error 500: Internal Server Error,https://www.skillsbench.ai/tasks/dialogue-parser,,,
075,dynamic-object-aware-egomotion,analytic-pipeline,missing_official_results,HTTP Error 500: Internal Server Error,https://www.skillsbench.ai/tasks/dynamic-object-aware-egomotion,,,
076,edit-pdf,artifact-generation,missing_official_results,missing_results,https://www.skillsbench.ai/tasks/edit-pdf,,,
077,enterprise-information-search,retrieval-heavy-synthesis,missing_official_results,HTTP Error 500: Internal Server Error,https://www.skillsbench.ai/tasks/enterprise-information-search,,,
078,fix-visual-stability,engineering-composition,missing_official_results,missing_results,https://www.skillsbench.ai/tasks/fix-visual-stability,,,
079,hvac-control,environment-control,missing_official_results,HTTP Error 500: Internal Server Error,https://www.skillsbench.ai/tasks/hvac-control,,,
080,jax-computing-basics,engineering-composition,missing_official_results,HTTP Error 500: Internal Server Error,https://www.skillsbench.ai/tasks/jax-computing-basics,,,
081,lean4-proof,artifact-generation,missing_official_results,HTTP Error 500: Internal Server Error,https://www.skillsbench.ai/tasks/lean4-proof,,,
082,manufacturing-codebook-normalization,retrieval-heavy-synthesis,missing_official_results,HTTP Error 500: Internal Server Error,https://www.skillsbench.ai/tasks/manufacturing-codebook-normalization,,,
083,manufacturing-equipment-maintenance,retrieval-heavy-synthesis,missing_official_results,HTTP Error 500: Internal Server Error,https://www.skillsbench.ai/tasks/manufacturing-equipment-maintenance,,,
084,manufacturing-fjsp-optimization,analytic-pipeline,missing_official_results,HTTP Error 500: Internal Server Error,https://www.skillsbench.ai/tasks/manufacturing-fjsp-optimization,,,
085,mhc-layer-impl,engineering-composition,missing_official_results,missing_results,https://www.skillsbench.ai/tasks/mhc-layer-impl,,,
086,quantum-numerical-simulation,analytic-pipeline,missing_official_results,HTTP Error 500: Internal Server Error,https://www.skillsbench.ai/tasks/quantum-numerical-simulation,,,
087,r2r-mpc-control,environment-control,missing_official_results,HTTP Error 500: Internal Server Error,https://www.skillsbench.ai/tasks/r2r-mpc-control,,,
088,scheduling-email-assistant,orchestration-delegation,missing_official_results,HTTP Error 500: Internal Server Error,https://www.skillsbench.ai/tasks/scheduling-email-assistant,,,
089,video-silence-remover,analytic-pipeline,missing_official_results,missing_results,https://www.skillsbench.ai/tasks/video-silence-remover,,,
